Brand	Model	SystemVersion	RAM	Resolution	CPU	CPU Core Count
一加	IN2020	11	8	3168x1440	Qualcomm Technologies, Inc KONA	8
华为	MAR-AL00	10	4	2312x1080	Hisilicon Kirin710	8
OPPO	PCAM10	10	4	2340x1080	MT6771V/CT	8
华为	LIO-AL00	HarmonyOS 2.0	8	2400x1176	Hisilicon Kirin990	8
一加	IN2010	11	8	2400x1080	Qualcomm Technologies, Inc KONA	8
VIVO	V1838A	10	8	2340x1080	Qualcomm Technologies, Inc SM6150	8
小米	Redmi Note 7 Pro	10	6	2340x1080	Qualcomm Technologies, Inc SM6150	8
VIVO	V2002A	10	8	2340x1080	PD2002 board based on Samsung EXYNOS880	8
小米	Redmi K30 Pro	11	8	2400x1080	Qualcomm Technologies, Inc SM8250	8
华为	JNY-AL10	HarmonyOS 2.0	8	2310x1080	Hisilicon Kirin810	8
VIVO	V1934A	9	6	2340x1080	MT6768V/CA	8
小米	Redmi K30 5G	10	8	2400x1080	Qualcomm Technologies, Inc SM7250	8
华为	PCT-AL10	10	6	2310x1080	Hisilicon Kirin980	8
小米	MI 9	10	6	2340x1080	Qualcomm Technologies, Inc SM8150	8
小米	M2011K2C	11	7	3200x1440	Venus based on Qualcomm Technologies, Inc SM8350	8
华为	SEA-AL10	10	8	2340x1080	Hisilicon Kirin980	8
小米	M2002J9E	11	6	2400x1080	Qualcomm Technologies, Inc SM7250	8
一加	KB2000	11	8	2400x1080	Qualcomm Technologies, Inc KONA	8
小米	Redmi K20 Pro Premium Edition	10	8	2340x1080	Qualcomm Technologies, Inc SM8150	8
华为	ELE-AL00	10	8	2340x1080	麒麟980	8
一加	GM1910	10	6	2340x1080		8
黑鲨	SHARK KLE-A0	10	8	2400x1080	骁龙865	8
VIVO	V1955A	10	6	2400x1080		8
华为	HLK-AL00	10	6	2340x1080		8
小米	Redmi K30 5G	11	6	2400x1080		8
OPPO	PACM00	10	4	2280x1080	MTKMTK6771	8
华硕	ASUS_I001DA	9	8	2340x1080		8
小米	M2007J22C	10	6	2732 x2048		8
华为	COL-AL10	9	6	2732 x2048	麒麟970	8
小米	M2012K11AC	11	8	2400x1080	骁龙870	8
一加	KB2000	11	8	2400x1080	骁龙865	8
真我	RMX3031	11	6	2400x1080	天玑1200	8
华为	LIO-AN00	HarmonyOS 2.0	8	 2400x1176	kirin990	8
vivo	V1981A	11	6	2340x1080	骁龙865	8
华为	HLK-AL00	10	6	2340x1080	Kirin810	8
华为	OXF-AN10	10	8	2340x1080	麒麟990 5G	8
小米	MI 8	10	6	2248x1080	骁龙845	8
小米	Redmi K30 Pro	10	6	2400x1080	骁龙865	8
小米	Mi 10	10	8	2400x1080	骁龙865	8
小米	M2104K10AC	11	6	1080x2400	联发科天玑1100	8
小米	M2012K10C	11	8	1080x2400	天玑1200	8
小米	M2102J2SC	11	8	1080x2340	高通骁龙870	9
VIVO	V2049A	11	8	1080x2400	高通骁龙888	8
VIVO	V2118A	11	8	1080x2408	高通骁龙870	9
华为	NTH-AN00	11	8	2340x1080	QualcommSnapdragon 778G	8
小米	Redmi Note 8 Pro	10	6	2340x1080	联发科G90T	8
OPPO	PACM00	8.1.0	6	1080x2280	联发科 Helio P60	8
华为	DBY-W09	HarmonyOS 2.0	6	2560x1600	骁龙865	8
