Brand	Model	SystemVersion	RAM	Resolution	CPU	CPU Core Count
三星	SM-N770F	10.0	6	1080x2400	Exynos 9810	8
华为	DUB-LX1	8.1	3	1520x720	Qualcomm Technologies, Inc SDM450	8
小米	Redmi Note 5A	7.1	3	1280x720	Qualcomm Technologies, Inc MSM8940	8
华为	BLN-AL40	8.0	4	1080x1920	hi6250	8
三星	SCV37	9.0	5	 2960x1440	Exynos 8895	8
VIVO	vivo 1718	7.1	4	1440x720	Qualcomm Technologies, Inc SDM450	8
VIVO	V1829A	10.0	8	1080x2340	Qualcomm Technologies, Inc SDM710	8
三星	SM-C7000	8.0	4	1080x1920	Qualcomm Technologies, Inc MSM8953	8
OPPO	PACM00	10.0	4	1080x2280	MTKMTK6771	8
小米	MI 5	8.0	3	1080x1920	Qualcomm Technologies, Inc MSM8996	4
三星	SM-A315G	10.0	4	1080x2400	MT6768	8
三星	SM-N986U1	12.0	11	1440x3088	Qualcomm Technologies, Inc KONA	8
锤子	OS105	7.1	4	1080x2340		8
VIVO	V1986A	10.0	6	1080x2408	MT6889Z/CZA	8
VIVO	vivo Y79A	7.1	4	1440x720		8
VIVO	vivo X21A	9.0	6	1080x2280	Qualcomm Technologies, Inc SDM660	8
VIVO	vivo Z1	9.0	4	1080x2280	Qualcomm Technologies, Inc SDM660	8
VIVO	vivo X20Plus A	8.1	4	1080x2160	Qualcomm Technologies, Inc SDM660	8
金立	GIONEE S11	7.1	6	1080x2160	联发科Helio P30	8
VIVO	V1814A	9.0	6	1080x2340	Qualcomm Technologies, Inc SDM660	8
VIVO	vivo X9s Plus	7.1	4	1080x1920	Qualcomm Technologies, Inc MSM8976SG	8
VIVO	vivo Y67L	6.0	4	1280x720	MT6750	8
OPPO	OPPO R11s Plus	7.1	6	1080x2160		8
努比亚	NX907J	6.0	3	1280x720	Qualcomm Technologies, Inc MSM8940	8
三星	SM-N920V	6.0	4	1440x2560	SAMSUNG Exynos7420	8
VIVO	vivo Z1	9.0	6	1080x2280	Qualcomm Technologies, Inc SDM660	8
