Brand	Model	SystemVersion	Resolution	Screen	CPU	CPU Core Count	CpuMHZ	RAM
酷比	S3	4.4.4	720×1280	5	MT6735P	4	1300MHz	1024MB
美图	MP1603	6	1080×1920	5.2	: AArch64 Processor rev 1 (aarch64)	10	2150MHz	4096MB
奇酷	1501-M02	5.1	720×1280	5	MT6753	8	1300MHz	2048MB
奇酷	1509-A00	6.0.1	1080×1920	6	"Qualcomm Technologies, Inc MSM8996"	4	1000MHz	4096MB
三星	SM-N9200	6.0.1	1440×2560	5.7	SAMSUNG Exynos7420	8	2100MHz	4096MB
三星	SM-A7108	6.0.1	1080×1920	5.5	SAMSUNG Exynos7580	8	1600MHz	3072MB
三星	SM-A5009	6.0.1	720×1280	5	: ARMv7 Processor rev 0 (v7l)	4	1200MHz	2048MB
三星	SM-G5510	6.0.1	720×1280	5	: ARMv7 Processor rev 4 (v7l)	4	1400MHz	2048MB
索尼	S55t	4.4.2	720×1280	5.5	Qualcomm MSM8926	4	1200MHz	1024MB
中兴	Q529C	5.1	720×1280	5	MT6735	4	1000MHz	1024MB
中兴	BA510	5.1	720×1280	5	MT6735P	4	1000MHz	1024MB
金立	GN152	5.1	480×854	5	MT6735M	4	1300MHz	1024MB
金立	M2017	6.0.1	1440×2560	5.7	"Qualcomm Technologies, Inc MSM8976"	8	1950MHz	6144MB
OPPO	N5209	4.4.4	1080×1920	5.5	Qualcomm MSM 8974 (Flattened Device Tree)	4	2300MHz	2048MB
OPPO	A59m	5.1	720×1280	5.5	MT6750	8	1500MHz	3072MB
OPPO	R8000	4.3	720×1280	5	Qualcomm MSM 8226 (Flattened Device Tree)	4	1600MHz	1024MB
vivo	Xplay3S	4.4.2	1440×2560	6	Qualcomm MSM8974PRO-AB	4	2300MHz	3072MB
小米	Redmi Note 4X	7	1080×1920	5	"Qualcomm Technologies, Inc MSM8953"	8	2000MHz	3072MB
小米	MI 4W	7.1	1080×1920	5	Qualcomm MSM8974PRO-AC	4	2500MHz	3072MB
华硕	ASUS_X00GD	7	720×1280	5.2	: AArch64 Processor rev 2 (aarch64)	8	1500MHz	3072MB
华硕	ASUS_Z01FD	7	1080×1920	5.5	"Qualcomm Technologies, Inc MSM8953"	8	2000MHz	4096MB
华硕	Z01HDA	7.1.1	1080×1920	5.5	"Qualcomm Technologies, Inc MSM8953"	8	2000MHz	4096MB
中国移动	M631	5.1.1	720×1280	5	: ARMv7 Processor rev 0 (v7l)	4	1000MHz	1024MB
中国移动	M636	5.1.1	720×1280	5.5	"Qualcomm Technologies, Inc MSM8952"	8	1000MHz	2048MB
酷派	9190_T00	4.3	720×1280	5.95	Qualcomm MSM 8226 (Flattened Device Tree)	4	1200MHz	2048MB
酷派	C106	6.0.1	1080×1920	5.5	"Qualcomm Technologies, Inc MSM8976"	8	1800MHz	3072MB
酷派	5311	4.3	480×854	5	Qualcomm MSM 8610 (Flattened Device Tree)	2	1200MHz	512MB
酷派	VCR-A0	7.1.1	1080×1920	5.5	"Qualcomm Technologies, Inc MSM8976SG"	8	1800MHz	6144MB
酷派	Y71-511	5.1	540×960	5	MT6735	4	1000MHz	1024MB
酷派	5380CA	6.0.1	720×1280	5.5	"Qualcomm Technologies, Inc MSM8940"	8	1500MHz	3072MB
酷派	A8-930	5.1.1	1080×1920	5.5	"Qualcomm Technologies, Inc MSM8939"	8	1500MHz	3072MB
酷派	Y91-921	5.1.1	720×1280	5.5	"Qualcomm Technologies, Inc MSM8929"	8	1400MHz	4096MB
酷派	C107-9	6.0.1	1080×1920	5.5	"Qualcomm Technologies, Inc MSM8976"	8	1800MHz	3072MB
酷派	Y803-9	5.1	720×1280	5.5	MT6735	4	1300MHz	3072MB
酷派	Y71-811	5.1	540×960	5	MT6735M	4	1000MHz	1024MB
酷派	Y72-921	5.1.1	720×1280	5	"Qualcomm Technologies, Inc MSM8916"	4	1200MHz	3072MB
酷派	7320	4.2.2	720×1280	5.5	MT6592	8	1700MHz	1024MB
酷派	8676-M01	5.1	720×1280	5.5	MT6753	8	1300MHz	2048MB
酷派	8736	4.2.1	720×1280	5	tegra_enterprise	4	1500MHz	1024MB
