Brand	Model	SystemVersion	Resolution	Screen	CPU	CPU Core Count	CpuMHZ	RAM
小米	MI 4W	6.0.1	1080×1920	5	Qualcomm MSM8974PRO-AC	4	2500MHz	3072MB
小米	Redmi 3X	6.0.1	720×1280	5	"Qualcomm Technologies, Inc MSM8937"	8	1400MHz	2048MB
小米	Redmi 4A	6.0.1	720×1280	5	"Qualcomm Technologies, Inc MSM8917"	4	1400MHz	2048MB
小米	Redmi note 3	5.0.2	1080×1920	5.5	MT6795M	8	1800MHz	2048MB
小米	MI 6	7.1.1	1080×1920	5.15	"Qualcomm Technologies, Inc MSM8998"	8	2450MHz	6144MB
小米	HM 1SLTETD	4.4.2	720×1280	4.7	MT6582	4	1331MHz	1024MB
小米	MI 4W	4.4.4	1080×1920	5	Qualcomm MSM8974PRO-AC	4	2500MHz	3072MB
小米	HM 3	5.1.1	720×1280	5	"Qualcomm Technologies, Inc MSM8939"	8	1700MHz	2048MB
小米	Redmi Note 5A	7.1.2	720×1280	5.5	"Qualcomm Technologies, Inc MSM8917"	4	1800MHz	2048MB
小米	MI NOTE LTE	4.4.4	1080×1920	5.7	Qualcomm MSM8974PRO-AC	4	2500MHz	3072MB
小米	MI NOTE LTE	6.0.1	1080×1920	5.7	Qualcomm MSM8974PRO-AC	4	2500MHz	3072MB
小米	MI 2	5.0.2	720×1280	4.3	MI 2	4	1500MHz	2048MB
小米	MI 5X	7.1.2	1080×1920	5.5	"Qualcomm Technologies, Inc MSM8953"	8	2000MHz	4096MB
小米	MI 5	7	1080×1920	5.15	"Qualcomm Technologies, Inc MSM8996"	4	1800MHz	3072MB
小米	MI 5s	7	1080×1920	5.15	"Qualcomm Technologies, Inc MSM8996pro"	4	2150MHz	3072MB
小米	MIX	6.0.1	1080×2040	6.4	"Qualcomm Technologies, Inc MSM8996pro"	4	2300MHz	4096MB
小米	HM 1STD	4.2.2	720×1280	4.7	MT6582	4	1300MHz	1024MB
小米	Redmi Note 4	6	1080×1920	5.5	: AArch64 Processor rev 4 (aarch64)	10	2100MHz	2048MB
小米	MI 5s Plus	6.0.1	1080×1920	5.7	"Qualcomm Technologies, Inc MSM8996pro"	4	2350MHz	4096MB
小米	MI 3W	6.0.1	1080×1920	5	Qualcomm MSM8974PRO-AB	4	2300MHz	2048MB
小米	MI MAX	6.0.1	1080×1920	6.44	"Qualcomm Technologies, Inc MSM8956"	6	1800MHz	3072MB
小米	Mi Note 2	6.0.1	1080×1920	5.7	"Qualcomm Technologies, Inc MSM8996pro"	4	2300MHz	6144MB
小米	Redmi 3S	6.0.1	720×1280	5	"Qualcomm Technologies, Inc MSM8937"	8	1400MHz	2048MB
